Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
170.1 to 290.0 Angstroms
Number of lines:  2908
Minimum intensity =        192187.02
Units are:  photons cm-2 sr-1 s-1
Calculated: 04/Nov/21 16:07:40

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   2.81838e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

170.0740     4.82e+07 N IV           5.2   2s2 1S0 - 2s 7p 1P1
170.0960     5.51e+05 Ar VII         5.6   3s 3p 3P1 - 3p 4p 3D1
170.2190     4.04e+09 O V            5.4   2s 2p 1P1 - 2s 4d 1D2
170.2270     4.85e+06 Mg X           6.0   1s2.3s 2S1/2 - 1s2.4p 2P3/2
170.2270     9.23e+06 Mg X           6.0   1s2.3s 2S1/2 - 1s2.4p 2P1/2
170.2940     8.23e+05 Ne V           5.6   2s 2p3 3P2 - 2s 2p2 3d 5D2
170.2950     2.24e+05 Ne V           5.6   2s 2p3 3P1 - 2s 2p2 3d 5D2
170.3120     4.66e+05 Ne V           5.6   2s 2p3 3P1 - 2s 2p2 3d 5D1
170.3120     7.62e+05 Ne V           5.6   2s 2p3 3P2 - 2s 2p2 3d 5D1
170.3210     5.80e+05 Ne V           5.6   2s 2p3 3P0 - 2s 2p2 3d 5D1
170.3440     1.55e+06 Fe X           5.9   3s 3p5 3d 4F7/2 - 3s2 3p4 4d 4F5/2
170.3680     5.40e+05 Ar VII         5.6   3s 3p 3P2 - 3p 4p 3D2
170.4170     1.21e+09 Fe VII         5.7   3p6 3d2 1D2 - 3p5 3d3(4F) 3D1
170.5000     9.46e+06 Ni XIV         6.2   3s2.3p3 4S3/2 - 3s2.3p2(3P).3d 4P3/2
170.5670     1.01e+08 Fe VII         5.7   3p6 3d2 1D2 - 3p5 3d3(4F) 3D2
