Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+08 (cm-3) 
165.0 to 295.0 Angstroms
Number of lines:  4124
Minimum intensity =    2.4893286e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 13/May/22 14:39:16

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

165.0480     2.27e-03 Fe X          5.95   3s2 3p4 3d 2D5/2 - 3s2 3p4 4p 2D5/2
165.0870     6.09e-02 Fe VII        5.65   3p6 3d2 1S0 - 3p6 3d 4f 1P1
165.1080     8.35e-05 Mg IV         5.40   2s2 2p5 2P1/2 - 2s2 2p4 3p 2D5/2
165.1200     1.34e-02 Ne VI         5.70   2s 2p2 2P3/2 - 2s 2p 3s 2P1/2
165.1420     9.13e-06 Fe XII        6.05   3s2 3p3 4S3/2 - 3s2 3p2 3d 2D3/2
165.1730     1.02e-05 S IX          5.95   2s2.2p4 3P0 - 2s.2p5 1P1
165.1920     1.02e-03 Mg III        5.20   2s2 2p6 1S0 - 2s2 2p5 5d 3P1
165.2180     4.05e-03 O V           5.45   2p2 1D2 - 2p 4d 3F2
165.2240     1.38e-04 Ne V          5.55   2s2 2p2 3P0 - 2s2 2p 3s 1P1
165.2760     8.33e-03 O V           5.45   2p2 3P1 - 2p 4s 3P2
165.3140     1.55e-05 Ar VIII       5.80   3d 2D3/2 - 6p 2P3/2
165.3360     2.33e-04 Ne V          5.55   2s2 2p2 3P1 - 2s2 2p 3s 1P1
165.3500     2.47e-02 O V           5.45   2p2 3P2 - 2p 4s 3P2
165.3530     1.40e-04 Ar VIII       5.80   3d 2D5/2 - 6p 2P3/2
165.4050     5.80e-04 Ne V          5.55   2s2 2p2 1D2 - 2s2 2p 3p 1P1
165.4240     2.79e-03 Ca IX         5.80   3p2 3P1 - 3p 4s 3P2
