Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+09 (cm-3) 
670.1 to 730.0 Angstroms
Number of lines:  104
Minimum intensity =    9.6148090e+08
Units are:  photons cm-2 sr-1 s-1
Calculated: 20/May/21 05:35:13

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_coronal_2012_schmelz_ext.abund
created for the CHIANTI atomic database by Peter Young, 11-Dec-2015
abundance: 
   Schmelz, J.T., Reames, D.V., von Steiger, R., \& Basu, S. 2012, ApJ, 755, 33
         <bibcode="2012ApJ...755...33S">
   Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys.
         268, 255  <bibcode="2011SoPh..268..255C">
   Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B:
         Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560
         <bibcode="2009LanB...4B...44L">
comment:
   This file reproduces the abundances from the file sun\_coronal\_2012\_schmelz.abund but
   adds in values for the elements missing in this file. For these missing elements, the
   photospheric abundances are taken from the sun\_photospheric\_2011\_caffau.abund and
   then multiplied by a scaling factor. The scaling factor comes from Schmelz et al.
   (2012) and is 2.14 below FIP=9 eV, 0.71 above FIP=11 eV, and a linearly varying
   factor between these two energies.
Minimum abundance =   8.31764e-08

Differential Emission Measure file: quiet_sun.dem
filename: quiet\_sun.dem
dem: produced by chianti\_dem.pro
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average Quiet Sun,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

670.0530     1.49e+09 Al X           6.1   2s.2p 1P1 - 2p2 1D2
671.0160     6.58e+09 N II           4.6   2s2.2p2 3P1 - 2s2.2p.3s 3P2
671.3860     1.97e+10 N II           4.6   2s2.2p2 3P2 - 2s2.2p.3s 3P2
671.4110     4.80e+09 N II           4.6   2s2.2p2 3P0 - 2s2.2p.3s 3P1
671.6300     3.59e+09 N II           4.6   2s2.2p2 3P1 - 2s2.2p.3s 3P1
671.7730     4.43e+09 N II           4.7   2s2.2p2 3P1 - 2s2.2p.3s 3P0
672.0010     6.07e+09 N II           4.6   2s2.2p2 3P2 - 2s2.2p.3s 3P1
672.9450     1.46e+10 O II           4.7   2s2.2p3 2P3/2 - 2s2.2p2(3P).3s 2P3/2
672.9540     2.95e+09 O II           4.7   2s2.2p3 2P1/2 - 2s2.2p2(3P).3s 2P3/2
673.7610     2.85e+09 O II           4.7   2s2.2p3 2P3/2 - 2s2.2p2(3P).3s 2P1/2
673.7700     5.76e+09 O II           4.7   2s2.2p3 2P1/2 - 2s2.2p2(3P).3s 2P1/2
674.4400     8.23e+09 S IV           5.1   3s.3p2 2D5/2 - 3s.3p(3P).3d 2F7/2
676.0060     1.94e+09 S IV           5.1   3s.3p2 2S1/2 - 3s.3p(3P).4s 2P1/2
676.5080     9.67e+09 Si IX          6.1   2s2.2p2 3P1 - 2s.2p3 5S2
677.7280     2.13e+10 S III          4.8   3s2.3p2 3P0 - 3s2.3p.3d 3D1
677.9840     4.15e+09 S IV           5.1   3s.3p2 2D5/2 - 3s.3p(3P).3d 2F5/2
678.0860     1.45e+09 S IV           5.1   3s.3p2 2P1/2 - 3s.3p(1P).3d 2D3/2
678.4540     4.65e+10 S III          4.8   3s2.3p2 3P1 - 3s2.3p.3d 3D2
678.8060     1.03e+09 S IV           5.1   3s.3p2 2S1/2 - 3s.3p(3P).4s 2P3/2
679.1020     1.99e+10 S III          4.8   3s2.3p2 3P1 - 3s2.3p.3d 3D1
679.7770     1.56e+09 Mg VIII        5.9   2s 2p2 2P1/2 - 2p3 2D3/2
680.3360     2.81e+09 S IV           5.1   3s.3p2 2P3/2 - 3s.3p(1P).3d 2D5/2
680.4060     3.20e+10 Fe XI          6.1   3s 3p5 3P2 - 3s2 3p3 3d 3F4
680.6760     8.24e+10 S III          4.8   3s2.3p2 3P2 - 3s2.3p.3d 3D3
680.9240     2.23e+10 S III          4.8   3s2.3p2 3P2 - 3s2.3p.3d 3D2
680.9730     5.32e+10 S III          4.8   3s2.3p2 3P1 - 3s2.3p.4s 3P2
681.4880     1.69e+10 S III          4.8   3s2.3p2 3P0 - 3s2.3p.4s 3P1
681.5760     1.96e+09 S III          4.8   3s2.3p2 3P2 - 3s2.3p.3d 3D1
681.7190     1.06e+11 Na IX          5.9   2s 2S1/2 - 2p 2P3/2
683.0640     9.13e+09 S III          4.8   3s2.3p2 3P1 - 3s2.3p.4s 3P0
683.2790     2.16e+09 Ar IV          5.1   3s2.3p3 2D3/2 - 3s2.3p2(3P)3d 2P1/2
683.4610     2.14e+09 S III          4.8   3s2.3p2 3P2 - 3s2.3p.4s 3P2
683.5890     5.00e+10 S III          4.8   3s2.3p2 1D2 - 3s2.3p.3d 1F3
684.9980     8.63e+10 N III          4.9   2s2 2p 2P1/2 - 2s 2p2 2P3/2
685.3790     5.02e+09 S III          4.8   3s2.3p2 3P2 - 3s2.3p.4s 3P1
685.5150     1.68e+11 N III          4.9   2s2 2p 2P1/2 - 2s 2p2 2P1/2
685.8170     4.32e+11 N III          4.9   2s2 2p 2P3/2 - 2s 2p2 2P3/2
686.3360     8.54e+10 N III          4.9   2s2 2p 2P3/2 - 2s 2p2 2P1/2
686.4410     1.07e+10 Fe VIII        5.8   3s2 3p5 3d2 2P3/2 - 3s2 3p6 4d 2D5/2
687.0530     6.53e+10 C II           4.6   2s2 2p 2P1/2 - 2s2 3d 2D3/2
