Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+08 (cm-3) 
670.5 to 730.0 Angstroms
Number of lines:  141
Minimum intensity =    1.0219675e+08
Units are:  photons cm-2 sr-1 s-1
Calculated: 10/Jun/21 15:55:07

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

670.4520     5.40e+08 Ar VII         5.6   3s.3p 3P2 - 3p2 1D2
671.0160     6.90e+09 N II           4.7   2s2.2p2 3P1 - 2s2.2p.3s 3P2
671.3860     2.07e+10 N II           4.7   2s2.2p2 3P2 - 2s2.2p.3s 3P2
671.4110     5.03e+09 N II           4.7   2s2.2p2 3P0 - 2s2.2p.3s 3P1
671.6300     3.76e+09 N II           4.7   2s2.2p2 3P1 - 2s2.2p.3s 3P1
671.7730     4.64e+09 N II           4.7   2s2.2p2 3P1 - 2s2.2p.3s 3P0
672.0010     6.36e+09 N II           4.7   2s2.2p2 3P2 - 2s2.2p.3s 3P1
672.1560     1.23e+08 S VII          5.8   2s2 2p5 3p 1P1 - 2s2 2p5 3d 1D2
672.9450     1.58e+10 O II           4.7   2s2.2p3 2P3/2 - 2s2.2p2(3P).3s 2P3/2
672.9540     3.20e+09 O II           4.7   2s2.2p3 2P1/2 - 2s2.2p2(3P).3s 2P3/2
673.7610     3.09e+09 O II           4.7   2s2.2p3 2P3/2 - 2s2.2p2(3P).3s 2P1/2
673.7700     6.25e+09 O II           4.7   2s2.2p3 2P1/2 - 2s2.2p2(3P).3s 2P1/2
673.8580     4.86e+08 S III          4.8   3s2.3p2 3P0 - 3s2.3p.4s 1P1
674.4400     5.06e+09 S IV           5.1   3s.3p2 2D5/2 - 3s.3p(3P).3d 2F7/2
676.0060     1.19e+09 S IV           5.1   3s.3p2 2S1/2 - 3s.3p(3P).4s 2P1/2
676.2900     3.84e+08 Ca IX          5.8   3s2 1S0 - 3s.3p 3P2
