Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+09 (cm-3) 
1015.5 to 1063.9 Angstroms
Number of lines:  87
Minimum intensity =    9.8245316e+08
Units are:  photons cm-2 sr-1 s-1
Calculated: 17/May/21 14:26:57

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: quiet_sun.dem
filename: quiet\_sun.dem
dem: produced by chianti\_dem.pro
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average Quiet Sun,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

1015.4960    2.75e+10 S III          4.7   3s2.3p2 3P1 - 3s.3p3 3P0
1015.5610    2.56e+10 S III          4.7   3s2.3p2 3P1 - 3s.3p3 3P1
1015.7750    4.90e+10 S III          4.7   3s2.3p2 3P1 - 3s.3p3 3P2
1016.4110    3.51e+09 Fe III         4.3   3s2 3p6 3d6 3H5 - 3s2 3p6 3d5 4p 3H4
1017.2540    1.14e+11 Fe III         4.3   3s2 3p6 3d6 3H6 - 3s2 3p6 3d5 4p 3H6
1017.7450    4.08e+10 Fe III         4.3   3s2 3p6 3d6 3H5 - 3s2 3p6 3d5 4p 3H5
1018.2850    6.12e+10 Fe III         4.3   3s2 3p6 3d6 3H4 - 3s2 3p6 3d5 4p 3H4
1018.3160    1.41e+09 Fe III         4.4   3s2 3p6 3d6 3D2 - 3s2 3p6 3d5 4p 3P2
1018.9010    1.98e+09 Fe XI          6.1   3s2 3p3 3d 5D3 - 3s2 3p3 3d 3F4
1019.5280    2.66e+11 S II           4.0   3s2 3p3 2D3/2 - 3p2(3P)4s 2P1/2
1019.8940    2.37e+09 Fe III         4.3   3s2 3p6 3d6 3H5 - 3s2 3p6 3d5 4p 3F4
1020.0630    1.71e+09 Fe III         4.3   3s2 3p6 3d6 3P1 - 3s2 3p6 3d5 4p 5P2
1020.6990    1.58e+11 Si II          4.0   3s2.3p 2P1/2 - 3s2.5s 2S1/2
1021.1050    2.32e+10 S III          4.7   3s2.3p2 3P2 - 3s.3p3 3P1
1021.3210    8.78e+10 S III          4.7   3s2.3p2 3P2 - 3s.3p3 3P2
