Predicted XUV Line Intensities
CHIANTI database - Version 9.0
Calculated with Constant density=  1.00e+09 (cm-3) 
1210.1 to 1253.8 Angstroms
Number of lines:  205
Minimum intensity =        5444632.2
Units are:  photons cm-2 sr-1 s-1
Calculated: 24/May/21 13:03:45

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Thu Dec  7 13:00:33 2017

 Elemental Abundance file: sun_photospheric_2011_caffau.abund
created for the CHIANTI atomic database by Peter Young, 27-Jun-2012
abundance: Caffau, E., Ludwig, H.-G., Steffen, M., Freytag, B. \& Bonifacio, P. 2011, Sol. Phys. 
              268, 255  <bibcode="2011SoPh..268..255C">
            Lodders, K., Palme, H., \& Gail, H.P. 2009, Astronomy, Astrophysics, and Cosmology, B: 
              Solar System, Landolt-Bornstein, New Series VI/4, Spring, Berlin, 560 
              <bibcode="2009LanB...4B...44L">
comment:
   Caffau et al. (2011) provided new abundances for 12 elements, 8 of which have Z<31. Caffau et al.
   recommend combining these values with the abundances of Lodders et al. (2009), and so all other
   abundances are from this paper.
Minimum abundance =   4.16869e-08

Differential Emission Measure file: quiet_sun.dem
filename: quiet\_sun.dem
dem: produced by chianti\_dem.pro
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average Quiet Sun,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

1210.0840    1.54e+08 Fe III         4.3   3s2 3p6 3d6 1D2 - 3s2 3p6 3d5 4p 3F3
1210.3610    4.04e+09 Fe III         4.4   3s2 3p6 3d6 5D2 - 3s2 3p6 3d5 4s 5F2
1210.3770    7.08e+07 Fe VI          5.3   3p63d24s 2P1/2 - 3p63d24p 2D3/2
1210.5770    1.44e+08 Fe III         4.4   3s2 3p6 3d6 1G4 - 3s2 3p6 3d5 4p 1G4
1210.6520    1.41e+07 Si IV          4.9   4s 2S1/2 - 5p 2P3/2
1210.9620    6.11e+06 Mg IV          5.4   2s2 2p4 3p 4P5/2 - 2s2 2p4 3d 4P5/2
1210.9790    1.45e+07 O IV           5.3   2s 2p 3d 2P3/2 - 2s 2p 4f 2D3/2
1211.3420    2.29e+09 Fe III         4.3   3s2 3p6 3d5 4s 5S2 - 3s2 3p6 3d5 4p 5P1
1211.4351    1.87e+08 Fe III         4.4   3s2 3p6 3d6 1F3 - 3s2 3p6 3d5 4p 3F4
1211.5031    1.62e+08 Fe VI          5.2   3p63d24s 4P5/2 - 3p63d24p 4P5/2
1211.7100    5.45e+06 Fe III         4.4   3s2 3p6 3d6 3P1 - 3s2 3p6 3d5 4p 1D2
1211.7570    7.23e+06 Si IV          4.9   4s 2S1/2 - 5p 2P1/2
1211.9850    3.35e+08 Fe III         4.4   3s2 3p6 3d6 3F4 - 3s2 3p6 3d5 4p 3F4
1212.0190    3.73e+11 Fe II          4.0   3d6(5D).4s 4D5/2 - 3d6(3P1).4p 4P3/2
1212.1360    6.47e+08 Fe III         4.4   3s2 3p6 3d6 5D2 - 3s2 3p6 3d5 4s 5F3
1212.2650    3.92e+08 Fe III         4.4   3s2 3p6 3d6 3F3 - 3s2 3p6 3d5 4p 3F4
1212.5811    1.50e+07 Fe VI          5.2   3p63d24s 4P1/2 - 3p63d24p 4P1/2
1212.8800    2.81e+07 Fe III         4.5   3s2 3p6 3d6 1D2 - 3s2 3p6 3d5 4p 1F3
1212.9301    2.70e+10 S X            6.2   2s2.2p3 4S3/2 - 2s2.2p3 2D3/2
1213.0341    1.25e+08 O IV           5.3   2s 2p 3d 2P3/2 - 2s 2p 4f 2D5/2
1213.1960    7.09e+07 O IV           5.3   2s 2p 3d 2P1/2 - 2s 2p 4f 2D3/2
1213.2590    6.75e+09 Fe III         4.4   3s2 3p6 3d6 5D2 - 3s2 3p6 3d5 4s 5F4
1213.4320    1.80e+07 Fe III         4.4   3s2 3p6 3d6 5D4 - 3s2 3p6 3d5 4s 3D2
1213.8090    1.92e+09 O V            5.4   2s2 1S0 - 2s.2p 3P2
1213.8409    2.06e+07 Fe III         4.4   3s2 3p6 3d6 3F4 - 3s2 3p6 3d5 4p 3H4
1213.8440    8.02e+07 Fe III         4.4   3s2 3p6 3d6 5D4 - 3s2 3p6 3d5 4s 3D3
1214.1230    6.59e+07 Fe III         4.4   3s2 3p6 3d6 3F3 - 3s2 3p6 3d5 4p 3H4
1214.1890    7.87e+06 Fe III         4.3   3s2 3p6 3d6 1D2 - 3s2 3p6 3d5 4p 3F2
1214.2130    2.46e+07 Fe VI          5.2   3p63d24s 4P3/2 - 3p63d24p 4P3/2
1214.5670    3.02e+10 Fe III         4.3   3s2 3p6 3d6 5D4 - 3s2 3p6 3d5 4p 7P3
1214.6000    2.61e+09 Fe III         4.4   3s2 3p6 3d6 5D0 - 3s2 3p6 3d5 4s 5F2
1214.9860    5.27e+09 Fe III         4.4   3s2 3p6 3d6 5D1 - 3s2 3p6 3d5 4s 5F3
1215.0880    1.02e+10 He II          4.9   2p 2P1/2 - 4d 2D3/2
1215.0950    6.31e+09 He II          4.9   2s 2S1/2 - 4p 2P3/2
1215.0980    5.36e+09 He II          4.9   2p 2P1/2 - 4s 2S1/2
1215.1060    3.15e+09 He II          4.9   2s 2S1/2 - 4p 2P1/2
1215.1710    1.83e+10 He II          4.9   2p 2P3/2 - 4d 2D5/2
1215.1750    2.04e+09 He II          4.9   2p 2P3/2 - 4d 2D3/2
1215.1840    1.07e+10 He II          4.9   2p 2P3/2 - 4s 2S1/2
1215.2371    1.43e+07 Fe III         4.4   3s2 3p6 3d6 3F4 - 3s2 3p6 3d5 4p 3H5
1215.2629    2.53e+07 Fe VI          5.2   3p63d24s 4F7/2 - 3p63d24p 4D7/2
1215.3000    3.57e+07 Fe VI          5.2   3p63d24s 4F5/2 - 3p63d24p 2D3/2
1215.4510    7.17e+06 Si VII         5.9   2s2.2p3(2P).3s 3P2 - 2s2.2p3(2P).3p 3S1
1215.6680    1.53e+19 H I            4.0   1s 2S1/2 - 2p 2P3/2
1215.6740    7.64e+18 H I            4.0   1s 2S1/2 - 2p 2P1/2
1216.1620    1.98e+07 Mg VII         5.8   2s2.2p2 3P2 - 2s2.2p2 1S0
1216.2720    1.87e+11 Fe II          4.0   3d6(5D).4s 4D3/2 - 3d6(3P1).4p 4P3/2
1216.3970    3.11e+08 Si VIII        6.0   2s2.2p2(3P)3s 4P3/2 - 2s2.2p2(3P)3p 4D3/2
1216.4280    2.45e+10 Fe XIII        6.2   3s2 3p2 3P1 - 3s2 3p2 1S0
1217.1520    1.49e+11 Fe II          4.0   3d6(5D).4s 4D3/2 - 3d6(3P1).4p 4P1/2
1217.3420    1.99e+07 Fe III         4.4   3s2 3p6 3d6 1D2 - 3s2 3p6 3d5 4s 1G4
1218.3440    1.82e+12 O V            5.3   2s2 1S0 - 2s.2p 3P1
1218.5820    6.51e+06 Fe III         4.5   3s2 3p6 3d5 4s 3F4 - 3s2 3p6 3d5 4p 3F4
1218.6400    1.06e+08 Fe III         4.4   3s2 3p6 3d6 5D3 - 3s2 3p6 3d5 4s 3D1
1218.7380    2.91e+10 Fe II          4.0   3d6(5D).4s 4D1/2 - 3d6(3P1).4p 4P3/2
1219.6210    1.48e+11 Fe II          4.0   3d6(5D).4s 4D1/2 - 3d6(3P1).4p 4P1/2
1219.8890    5.24e+08 Fe III         4.4   3s2 3p6 3d6 5D3 - 3s2 3p6 3d5 4s 3D2
1220.3051    6.42e+08 Fe III         4.4   3s2 3p6 3d6 5D3 - 3s2 3p6 3d5 4s 3D3
1220.3860    1.09e+08 Fe VI          5.3   3p63d24s 2P3/2 - 3p63d24p 2D5/2
1220.6810    3.03e+09 Fe III         4.3   3s2 3p6 3d5 4s 5S2 - 3s2 3p6 3d5 4p 3D1
1220.7030    1.30e+07 Fe III         4.4   3s2 3p6 3d6 3F2 - 3s2 3p6 3d5 4p 1D2
1220.8420    6.13e+07 Fe VI          5.2   3p63d24s 4P3/2 - 3p63d24p 4P1/2
1220.9041    8.03e+06 Mg IV          5.4   2s2 2p4 3p 4P5/2 - 2s2 2p4 3d 4P3/2
