Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14831
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Calculated: 12/Oct/21 20:15:29

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

500.2310     7.51e+06 O IV           5.3   2s2 3p 2P1/2 - 2s 2p 4p 2S1/2
500.3130     1.64e+06 S VII          5.8   2s2 2p5 3d 1P1 - 2s2 2p5 4p 1P1
500.4320     5.22e+05 Al IV          5.4   2s2 2p5 3s 1P1 - 2s2 2p5 4p 3D2
500.4360     3.66e+09 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 1F3
500.4480     1.45e+07 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2S1/2
500.6530     2.68e+05 Ar IX          5.9   2s2 2p5 3p 3D2 - 2s2 2p5 3d 1F3
500.6680     4.81e+06 Ne V           5.6   2s2 2p 3p 1P1 - 2s 2p2 3p 1P1
500.6980     2.31e+07 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3D3
500.7010     2.82e+07 Ar VII         5.6   3p2 3P2 - 3p 3d 3P2
500.7620     6.45e+05 Ar IV          5.1   3s2.3p3 2D3/2 - 3s2.3p2(3P)3d 4P5/2
500.8514     2.94e+05 N VI           5.9   1s.3p 3P2 - 1s.4d 3D3
501.0720     5.74e+09 Ar VII         5.6   3s 3p 1P1 - 3s 3d 1D2
501.0850     5.49e+06 Ar IV          5.1   3s2.3p3 2D5/2 - 3s2.3p2(3P)3d 4P5/2
501.0910     3.80e+05 Ar X           6.0   2s2.2p4(1D).3p 2F7/2 - 2s2.2p4(1D).3d 2F7/2
501.1410     1.07e+07 Ca VII         5.7   3s2.3p2 3P2 - 3s.3p3 1D2
501.2460     1.26e+07 Ar VII         5.6   3s 3d 1D2 - 3s 4p 1P1
501.6020     1.38e+06 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3D2
501.6070     4.19e+05 Al IV          5.4   2s2 2p5 3p 3S1 - 2s2 2p5 5s 3P2
501.6740     1.04e+07 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 1P1
502.1790     4.07e+05 Fe VIII        5.8   3s2 3p6 4d 2D3/2 - 3s2 3p5 3d 4s 4F3/2
502.1970     3.30e+06 N IV           5.2   2s 3s 1S0 - 2s 7p 1P1
502.4420     8.27e+05 O VI           5.8   1s2.4s 2S1/2 - 1s2.8p 2P3/2
502.4420     1.58e+06 O VI           5.8   1s2.4s 2S1/2 - 1s2.8p 2P1/2
502.6010     4.73e+08 Fe VI          5.2   3p63d3 2D5/2 - 3p63d24s 2F7/2
503.2710     2.25e+09 Ca IX          5.8   3s 3p 3P0 - 3p2 3P1
503.4650     5.87e+07 Fe VI          5.2   3p63d3 2D3/2 - 3p63d24s 2F7/2
504.5190     1.69e+07 Ne V           5.6   2s2 2p 3p 3D1 - 2s2 2p 4d 1D2
