Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+10 (cm-3) 
500.1 to 1599.9 Angstroms
Number of lines:  30054
Minimum intensity =        259397.92
Units are:  photons cm-2 sr-1 s-1
Lines marked with a * do not have correspondent observed energy levels 
and have approximate wavelengths.
Calculated: 13/Oct/21 14:22:14

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

500.0810     4.57e+05 Fe IX *        5.8   3s2 3p4 3d2 3P2 - 3s 3p5 3d2 3F3
500.0950     3.99e+06 Ne V *         5.6   2s 2p2 3p 5D1 - 2s 2p2 4d 5F1
500.0970     4.24e+05 Fe IX *        5.8   3s2 3p4 3d2 3F2 - 3s 3p5 3d2 3D3
500.1080     4.47e+05 Fe VII *       5.7   3p5 3d3(2F) 3F4 - 3p6 3d 5s 3D3
500.1100     2.13e+06 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 1D2
500.1250     5.11e+08 Fe IX *        5.8   3s2 3p4 3d2 3D3 - 3s2 3p5 4d 3F4
500.1520     7.53e+05 Fe IX *        5.8   3s2 3p4 3d2 5P3 - 3s 3p5 3d2 5D3
500.1690     4.52e+06 O V *          5.4   2p 3d 3D1 - 2p 5f 3F2
500.1750     2.99e+05 Fe VIII *      5.8   3s2 3p4 3d3 4F3/2 - 3s2 3p5 3d 4d 4G5/2
500.1900     2.36e+07 Ne V *         5.6   2s 2p2 3p 5D3 - 2s 2p2 4d 5F4
500.2080     6.42e+05 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 3P1
500.2310     7.51e+06 O IV           5.3   2s2 3p 2P1/2 - 2s 2p 4p 2S1/2
500.2600     5.97e+05 Mg III *       5.2   2s2 2p5 3s 1P1 - 2s2 2p5 7p 3D1
500.3060     9.05e+06 O V *          5.4   2p 3d 3D2 - 2p 5f 3F3
500.3130     1.64e+06 S VII          5.8   2s2 2p5 3d 1P1 - 2s2 2p5 4p 1P1
500.3460     6.42e+05 O V *          5.4   2p 3d 3D2 - 2p 5f 3F2
500.3710     3.47e+05 Mg VIII *      5.9   2s 2p 3d 2F7/2 - 2p2 3d 2F7/2
500.3730     5.51e+05 Si V *         5.7   2s2 2p5 3d 3P2 - 2s2 2p5 5p 1D2
500.3910     2.00e+08 Fe IX *        5.8   3s2 3p4 3d2 3S1 - 3s2 3p5 4d 3P2
500.3940     6.06e+06 Fe IX *        5.8   3s2 3p5 4d 3D3 - 3s2 3p5 5p 1D2
500.4070     5.35e+06 Ne V *         5.6   2s 2p2 3p 5D2 - 2s 2p2 4d 5F2
500.4320     5.22e+05 Al IV          5.4   2s2 2p5 3s 1P1 - 2s2 2p5 4p 3D2
500.4360     3.66e+09 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 1F3
500.4480     1.45e+07 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2S1/2
500.4530     6.04e+05 Fe VIII *      5.8   3s2 3p6 5d 2D3/2 - 3s2 3p5 3d 4d 2F5/2
500.4650     1.04e+07 O V *          5.4   2p 3d 3D3 - 2p 5f 3F4
500.4680     3.30e+07 Ne V *         5.6   2s 2p2 3p 5D4 - 2s 2p2 4d 5F5
500.4800     3.09e+05 Ne V *         5.6   2s 2p2 3s 3P1 - 2s2 2p 5d 3P0
500.5880     7.91e+05 O V *          5.4   2p 3d 3D3 - 2p 5f 3F3
500.5890     4.38e+05 O V *          5.4   2p 3d 3D2 - 2p 5f 1F3
500.6300     5.63e+05 Ne V *         5.6   2s 2p2 3s 3P1 - 2s2 2p 5d 3P1
500.6530     2.68e+05 Ar IX          5.9   2s2 2p5 3p 3D2 - 2s2 2p5 3d 1F3
500.6680     4.81e+06 Ne V           5.6   2s2 2p 3p 1P1 - 2s 2p2 3p 1P1
500.6810     3.00e+05 Na VI *        5.8   2s 2p2 3s 3P2 - 2s 2p2 3p 3D3
500.6920     4.81e+05 Ne V *         5.6   2s 2p2 3p 5D2 - 2s 2p2 4d 5F1
500.6920     2.46e+06 S V *          5.3   3p 3d 1F3 - 3d 4s 1D2
500.6980     2.31e+07 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3D3
500.7010     2.82e+07 Ar VII         5.6   3p2 3P2 - 3p 3d 3P2
500.7240     2.26e+07 Fe IX *        5.8   3s2 3p4 3d2 3G4 - 3s 3p5 3d2 3G4
500.7300     4.30e+06 Mg IX *        5.9   2s 4f 1F3 - 2s 5g 1G4
500.7620     6.45e+05 Ar IV          5.1   3s2.3p3 2D3/2 - 3s2.3p2(3P)3d 4P5/2
500.7860     3.23e+06 Si V *         5.7   2s2 2p5 4s 3P1 - 2s2 2p5 7p 1S0
500.8514     2.94e+05 N VI           5.9   1s.3p 3P2 - 1s.4d 3D3
500.8560     5.01e+06 Ne V *         5.6   2s 2p2 3p 5D3 - 2s 2p2 4d 5F3
500.9390     3.72e+06 Ca XI *        5.9   2s2 2p5 3s 3P1 - 2s2 2p5 3p 3P0
500.9540     9.62e+05 Si V *         5.7   2s2 2p5 3d 3P2 - 2s2 2p5 5p 3P1
501.0510     8.45e+05 S VII *        5.8   2s2 2p5 4s 3P2 - 2s2 2p5 5p 3P2
501.0720     5.74e+09 Ar VII         5.6   3s 3p 1P1 - 3s 3d 1D2
501.0850     5.49e+06 Ar IV          5.1   3s2.3p3 2D5/2 - 3s2.3p2(3P)3d 4P5/2
501.0910     3.80e+05 Ar X           6.0   2s2.2p4(1D).3p 2F7/2 - 2s2.2p4(1D).3d 2F7/2
501.1410     1.07e+07 Ca VII         5.7   3s2.3p2 3P2 - 3s.3p3 1D2
501.2460     1.26e+07 Ar VII         5.6   3s 3d 1D2 - 3s 4p 1P1
501.2470     2.10e+06 Fe IX *        5.9   3s 3p5 3d2 1F3 - 3s 3p6 4d 1D2
