Predicted XUV Line Intensities
CHIANTI database - Version 10.0.1
Calculated with Constant density=  1.00e+09 (cm-3) 
500.2 to 1599.9 Angstroms
Number of lines:  14289
Minimum intensity =    8.4748042e-06
Units are:  erg cm-2 sr-1 s-1
Calculated: 06/May/22 17:54:08

Ionization Fractions file: chianti.ioneq
ionization equilibrium:  CHIANTI
 produced as part of the CHIANTI atomic data base collaboration
  Created on Fri Oct  9 11:46:20 2020

 Elemental Abundance file: sun_coronal_1992_feldman_ext.abund
elemental abundances: Feldman, U., Mandelbaum, P., Seely, J.L., Doschek, G.A., Gursky H., 1992, ApJSS, 81, 387
Potassium abundance: Landi, Feldman and Dere 2002, ApJ, 139, 281
 Li,Be,B,F,P,Cl,Sc,Ti,V,Cr,Mn,Co,Cu and Zn abundances: Grevesse N., Sauval A.J., 1998, Space Science 
          Reviews, 85, 161 (photospheric values) with low-FIP elements increased by a factor 3.5
 produced for the CHIANTI atomic database by Enrico Landi, Jun 2002
comment:
    Filename changed, Peter Young 27-Jun-2012 (previous name: sun\_coronal\_ext.abund)
Minimum abundance =   1.38038e-07

Differential Emission Measure file: coronal_hole.dem
filename: coronal\_hole.dem
dem: produced by chianti\_dem.pro 
 Comment: the DEM was derived using the Vernazza \& Reeves 1978 ApJSS, 37, 485 average coronal hole,
           the sun\_coronal.abund file and a constant pressure of 3.00e+15 cm-3 K.
 produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
   K.P.Dere  - Aug 2002

Wavelength (A) Intensity  Ion        Tmax  Transition 

500.2310     2.96e-04 O IV           5.3   2s2 3p 2P1/2 - 2s 2p 4p 2S1/2
500.3130     6.37e-05 S VII          5.8   2s2 2p5 3d 1P1 - 2s2 2p5 4p 1P1
500.4320     1.94e-05 Al IV          5.4   2s2 2p5 3s 1P1 - 2s2 2p5 4p 3D2
500.4360     1.41e-01 S III          4.8   3s2.3p2 1D2 - 3s2.3p.4d 1F3
500.4480     5.71e-04 O IV           5.3   2s2 3p 2P3/2 - 2s 2p 4p 2S1/2
500.6530     1.04e-05 Ar IX          5.9   2s2 2p5 3p 3D2 - 2s2 2p5 3d 1F3
500.6680     1.79e-04 Ne V           5.6   2s2 2p 3p 1P1 - 2s 2p2 3p 1P1
500.6980     9.37e-04 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3D3
500.7010     1.11e-03 Ar VII         5.6   3p2 3P2 - 3p 3d 3P2
500.7620     2.66e-05 Ar IV          5.1   3s2.3p3 2D3/2 - 3s2.3p2(3P)3d 4P5/2
500.8514     8.89e-06 N VI           6.0   1s.3p 3P2 - 1s.4d 3D3
501.0720     2.28e-01 Ar VII         5.6   3s 3p 1P1 - 3s 3d 1D2
501.0850     2.26e-04 Ar IV          5.1   3s2.3p3 2D5/2 - 3s2.3p2(3P)3d 4P5/2
501.0910     1.50e-05 Ar X           6.0   2s2.2p4(1D).3p 2F7/2 - 2s2.2p4(1D).3d 2F7/2
501.1410     3.15e-04 Ca VII         5.7   3s2.3p2 3P2 - 3s.3p3 1D2
501.2460     4.98e-04 Ar VII         5.6   3s 3d 1D2 - 3s 4p 1P1
501.6020     5.63e-05 Ne V           5.6   2s2 2p 3p 3D3 - 2s2 2p 4d 3D2
501.6070     1.31e-05 Al IV          5.4   2s2 2p5 3p 3S1 - 2s2 2p5 5s 3P2
501.6740     4.09e-04 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 1P1
502.1790     1.49e-05 Fe VIII        5.8   3s2 3p6 4d 2D3/2 - 3s2 3p5 3d 4s 4F3/2
502.1970     1.42e-04 N IV           5.2   2s 3s 1S0 - 2s 7p 1P1
502.4420     3.27e-05 O VI           5.8   1s2.4s 2S1/2 - 1s2.8p 2P3/2
502.4420     6.24e-05 O VI           5.8   1s2.4s 2S1/2 - 1s2.8p 2P1/2
502.6010     1.87e-02 Fe VI          5.2   3p63d3 2D5/2 - 3p63d24s 2F7/2
503.2710     8.51e-02 Ca IX          5.8   3s 3p 3P0 - 3p2 3P1
503.3930     8.83e-06 Fe VIII        5.8   3s2 3p6 4d 2D5/2 - 3s2 3p5 3d 4s 4F3/2
503.4650     2.32e-03 Fe VI          5.2   3p63d3 2D3/2 - 3p63d24s 2F7/2
504.5190     6.52e-04 Ne V           5.6   2s2 2p 3p 3D1 - 2s2 2p 4d 1D2
504.5600     3.16e-04 Si V           5.6   2s2 2p5 3p 3S1 - 2s2 2p5 4s 3P0
504.6380     2.29e-04 Si V           5.7   2s2 2p5 3d 1P1 - 2s2 2p5 5f 1D2
504.7230     1.19e-05 Ar IX          5.9   2s2 2p5 3p 3D3 - 2s2 2p5 3d 3F2
505.4110     2.13e-05 N II           4.7   2s2.2p2 3P0 - 2s2.2p.4s 1P1
505.5360     1.52e-05 N II           4.7   2s2.2p2 3P1 - 2s2.2p.4s 1P1
505.5780     2.13e-04 Si V           5.7   2s2 2p5 3d 1P1 - 2s2 2p5 5f 3D2
505.6670     1.74e-05 Ne V           5.6   2s2 2p 3p 3D2 - 2s2 2p 4d 1D2
505.7460     2.19e-05 N II           4.7   2s2.2p2 3P2 - 2s2.2p.4s 1P1
505.8460     1.46e-03 Ar VII         5.6   3p 3d 1P1 - 3s 5s 1S0
505.8890     3.72e-05 Ca IX          5.8   3s 3p 1P1 - 3s 3d 3D2
