*SOHO/EIT 195 Effective Area
*Filter: Al+1
SOHO EIT Calibration Data from Dere et al., Solar Physics, 2000.
Modifications to original data by J. Newmark.
Modifications include far wings and second order He II in 304 bandpass.
Note these modifications have negligible effect on final output.
Output units = cm^2 dn photons^-1
Wavelength        Aeff
 175.00      2.7505E-14
 175.50      3.0989E-14
 176.00      3.5611E-14
 176.50      4.1834E-14
 177.00      5.0456E-14
 177.50      6.2695E-14
 178.00      7.9852E-14
 178.50      1.0347E-13
 179.00      1.3539E-13
 179.50      1.7779E-13
 180.00      2.3314E-13
 180.50      3.0400E-13
 181.00      3.9221E-13
 181.50      4.9814E-13
 182.00      6.2232E-13
 182.50      7.6494E-13
 183.00      9.2559E-13
 183.50      1.1035E-12
 184.00      1.2982E-12
 184.50      1.5070E-12
 185.00      1.7240E-12
 185.50      1.9411E-12
 186.00      2.1525E-12
 186.50      2.3554E-12
 187.00      2.5490E-12
 187.50      2.7330E-12
 188.00      2.9040E-12
 188.50      3.0555E-12
 189.00      3.1803E-12
 189.50      3.2733E-12
 190.00      3.3363E-12
 190.50      3.3737E-12
 191.00      3.3887E-12
 191.50      3.3786E-12
 192.00      3.3296E-12
 192.50      3.2253E-12
 193.00      3.0520E-12
 193.50      2.8142E-12
 194.00      2.5534E-12
 194.50      2.3075E-12
 195.00      2.1010E-12
 195.50      1.9312E-12
 196.00      1.7294E-12
 196.50      1.4629E-12
 197.00      1.1991E-12
 197.50      9.8137E-13
 198.00      8.0827E-13
 198.50      6.7192E-13
 199.00      5.6532E-13
 199.50      4.8217E-13
 200.00      4.1635E-13
 200.50      3.6331E-13
 201.00      3.1997E-13
 201.50      2.8430E-13
 202.00      2.5479E-13
 202.50      2.3025E-13
 203.00      2.0968E-13
 203.50      1.9222E-13
 204.00      1.7711E-13
 204.50      1.6375E-13
 205.00      1.5173E-13
 205.50      1.4074E-13
 206.00      1.3058E-13
 206.50      1.2122E-13
 207.00      1.1260E-13
 207.50      1.0462E-13
 208.00      9.7208E-14
 208.50      9.0290E-14
 209.00      8.3793E-14
 209.50      7.7617E-14
 210.00      7.1871E-14
 210.50      6.6570E-14
 211.00      6.1726E-14
 211.50      5.7345E-14
 212.00      5.3401E-14
 212.50      4.9849E-14
 213.00      4.6636E-14
 213.50      4.3727E-14
 214.00      4.1085E-14
 214.50      3.8679E-14
